Country,Year,Budget Deficit/Surplus,Capital Expenditure,Consumer Price Index (CPI),Defence Expenditure,Education Expenditure,Expenditure,Exports,Food Inflation,Food Inflation YoY,GDP Growth Rate,GDP per Capita,GDP per capita,Government Debt,Health Expenditure,Imports,Inflation Rate,Interest Rate,Labour Force,Nominal GDP,Population,Real GDP,Revenue,Tax Revenue,Unemployment Rate,Value Added Tax (VAT)
Algeria,1999,,,,,,,12.3,,,,,,,,-8.96,,,,,,,,,,
Algeria,2000,,,,,,,21.7,,,,,,,,-9.35,,,,,,,,,,
Algeria,2001,,,,,,,19.1,,,,,,,,-9.48,,,,4587607,,,,,,
Algeria,2002,,,101.74,,,,18.7,,,5.4,,,,,-12.01,,,,4901720,,,,,,
Algeria,2003,,,101.48,,,,24.5,,,6.5,,,,,-13.32,,,,5687158,,,,,,
Algeria,2004,,,108.96,,,,32.2,4.55,,4.5,,,,,-17.95,4.9,,,6623355,,,,,,
Algeria,2005,,,111.8,,,,46.3,4.06,,5.4,,,,,-19.85,3.58,,,7843981,,,,,,
Algeria,2006,,,112.5,,,,54.7,-1.45,,2.9,,,,,-20.68,1.22,,,8941655,,,,,,
Algeria,2007,,,115.17,,,,60.6,4.65,,3.1,,,,,-26.35,2.46,,,9872971,,,,,,
Algeria,2008,,,120.39,,,,78.6,6.74,,2.5,,,,,-37.99,3.86,,,11649694,,,,,,
Algeria,2009,,,126.98,,,,45.2,7.43,,1.2,,,,,-37.4,4.94,,,10920163,,,,,,
Algeria,2010,,,133.52,,,,57.1,8.25,,4.8,,,,,-38.89,5.71,,,13224716,,,,,,
Algeria,2011,,,138.29,,,,72.9,3.85,,3,,,,,-46.93,3.78,,,15924670,,,,,,
Algeria,2012,,,148.71,,,,71.7,4.71,,2.4,,,,,-51.57,4.86,,,17611810,,,,,,
Algeria,2013,,,160.33,,,,64.9,12.35,,2.6,,,,,-54.99,8.91,,,18231035,,,,,,
Algeria,2014,,,161.4,,,,60.1,2.46,,4.1,,,,,-59.67,2.67,,,19253765,,,,,,
Algeria,2015,,,168.91,,,,34.6,4.26,,3.2,,,,,-52.65,3.25,,,18879025,,,,,,
