Country,Rescue_Score,Transparency
Algeria,5408.490566037736,209
Angola,6672.641509433963,191
Botswana,5705.66037735849,104
Egypt,3662.893081761007,328
Ethiopia,5714.528301886792,166
Ghana,2616.509433962264,271
Ivory Coast,2506.132075471698,602
Kenya,4275.943396226415,307
Nigeria,2349.0566037735853,460
Rwanda,4465.408805031447,345
Senegal,3288.679245283019,128
South Africa,356.8396226415095,607
Tanzania,2962.2641509433965,236
Togo,1283.3333333333333,636
